"year","geo","country","sex","ple","NMS"
1992,"HU10","HU","F",74.3,"New Member States"
1993,"HU10","HU","F",74.2,"New Member States"
1994,"HU10","HU","F",74.5,"New Member States"
1995,"HU10","HU","F",75.1,"New Member States"
1996,"HU10","HU","F",75.3,"New Member States"
1997,"HU10","HU","F",75.7,"New Member States"
1998,"HU10","HU","F",75.9,"New Member States"
1999,"HU10","HU","F",75.9,"New Member States"
2000,"HU10","HU","F",76.5,"New Member States"
2001,"HU10","HU","F",76.9,"New Member States"
2002,"HU10","HU","F",77.3,"New Member States"
2003,"HU10","HU","F",77.5,"New Member States"
2004,"HU10","HU","F",77.9,"New Member States"
2005,"HU10","HU","F",78,"New Member States"
2006,"HU10","HU","F",78.3,"New Member States"
2007,"HU10","HU","F",78.4,"New Member States"
2008,"HU10","HU","F",78.9,"New Member States"
2009,"HU10","HU","F",79.3,"New Member States"
2010,"HU10","HU","F",79.4,"New Member States"
2011,"HU10","HU","F",79.4,"New Member States"
2012,"HU10","HU","F",79.4,"New Member States"
2013,"HU10","HU","F",79.8,"New Member States"
2014,"HU10","HU","F",80.4,"New Member States"
2015,"HU10","HU","F",79.6,"New Member States"
2016,"HU10","HU","F",80.5,"New Member States"
1992,"HU21","HU","F",74.1,"New Member States"
1993,"HU21","HU","F",74.3,"New Member States"
1994,"HU21","HU","F",74.5,"New Member States"
1995,"HU21","HU","F",74.7,"New Member States"
1996,"HU21","HU","F",74.9,"New Member States"
1997,"HU21","HU","F",75.7,"New Member States"
1998,"HU21","HU","F",75.5,"New Member States"
1999,"HU21","HU","F",75.9,"New Member States"
2000,"HU21","HU","F",76.6,"New Member States"
2001,"HU21","HU","F",76.5,"New Member States"
2002,"HU21","HU","F",76.9,"New Member States"
2003,"HU21","HU","F",76.6,"New Member States"
2004,"HU21","HU","F",77.1,"New Member States"
2005,"HU21","HU","F",77.2,"New Member States"
2006,"HU21","HU","F",77.6,"New Member States"
2007,"HU21","HU","F",77.8,"New Member States"
2008,"HU21","HU","F",78.2,"New Member States"
2009,"HU21","HU","F",78.2,"New Member States"
2010,"HU21","HU","F",78.8,"New Member States"
2011,"HU21","HU","F",78.7,"New Member States"
2012,"HU21","HU","F",78.9,"New Member States"
2013,"HU21","HU","F",79,"New Member States"
2014,"HU21","HU","F",79.2,"New Member States"
2015,"HU21","HU","F",78.6,"New Member States"
2016,"HU21","HU","F",79.7,"New Member States"
1992,"HU22","HU","F",74.7,"New Member States"
1993,"HU22","HU","F",74.8,"New Member States"
1994,"HU22","HU","F",75.2,"New Member States"
1995,"HU22","HU","F",75.5,"New Member States"
1996,"HU22","HU","F",75.4,"New Member States"
1997,"HU22","HU","F",76.5,"New Member States"
1998,"HU22","HU","F",76.2,"New Member States"
1999,"HU22","HU","F",76.1,"New Member States"
2000,"HU22","HU","F",77.1,"New Member States"
2001,"HU22","HU","F",77.6,"New Member States"
2002,"HU22","HU","F",77.4,"New Member States"
2003,"HU22","HU","F",77.6,"New Member States"
2004,"HU22","HU","F",77.9,"New Member States"
2005,"HU22","HU","F",78,"New Member States"
2006,"HU22","HU","F",78.8,"New Member States"
2007,"HU22","HU","F",78.5,"New Member States"
2008,"HU22","HU","F",79.2,"New Member States"
2009,"HU22","HU","F",79.1,"New Member States"
2010,"HU22","HU","F",78.8,"New Member States"
2011,"HU22","HU","F",79.3,"New Member States"
2012,"HU22","HU","F",78.9,"New Member States"
2013,"HU22","HU","F",79.8,"New Member States"
2014,"HU22","HU","F",79.5,"New Member States"
2015,"HU22","HU","F",79.9,"New Member States"
2016,"HU22","HU","F",80.4,"New Member States"
1992,"HU23","HU","F",73.7,"New Member States"
1993,"HU23","HU","F",73.7,"New Member States"
1994,"HU23","HU","F",74.8,"New Member States"
1995,"HU23","HU","F",74.2,"New Member States"
1996,"HU23","HU","F",74.6,"New Member States"
1997,"HU23","HU","F",74.9,"New Member States"
1998,"HU23","HU","F",75.4,"New Member States"
1999,"HU23","HU","F",75.1,"New Member States"
2000,"HU23","HU","F",75.3,"New Member States"
2001,"HU23","HU","F",76,"New Member States"
2002,"HU23","HU","F",76.6,"New Member States"
2003,"HU23","HU","F",75.8,"New Member States"
2004,"HU23","HU","F",76.8,"New Member States"
2005,"HU23","HU","F",77.1,"New Member States"
2006,"HU23","HU","F",77.5,"New Member States"
2007,"HU23","HU","F",77.5,"New Member States"
2008,"HU23","HU","F",77.9,"New Member States"
2009,"HU23","HU","F",78.2,"New Member States"
2010,"HU23","HU","F",78.2,"New Member States"
2011,"HU23","HU","F",78.5,"New Member States"
2012,"HU23","HU","F",78.7,"New Member States"
2013,"HU23","HU","F",78.6,"New Member States"
2014,"HU23","HU","F",79,"New Member States"
2015,"HU23","HU","F",78.6,"New Member States"
2016,"HU23","HU","F",79.6,"New Member States"
1992,"HU31","HU","F",73.7,"New Member States"
1993,"HU31","HU","F",73.6,"New Member States"
1994,"HU31","HU","F",74.1,"New Member States"
1995,"HU31","HU","F",74.5,"New Member States"
1996,"HU31","HU","F",75.1,"New Member States"
1997,"HU31","HU","F",75.3,"New Member States"
1998,"HU31","HU","F",75.6,"New Member States"
1999,"HU31","HU","F",75.4,"New Member States"
2000,"HU31","HU","F",75.9,"New Member States"
2001,"HU31","HU","F",76.4,"New Member States"
2002,"HU31","HU","F",76.2,"New Member States"
2003,"HU31","HU","F",76,"New Member States"
2004,"HU31","HU","F",76,"New Member States"
2005,"HU31","HU","F",76.1,"New Member States"
2006,"HU31","HU","F",76.7,"New Member States"
2007,"HU31","HU","F",76.8,"New Member States"
2008,"HU31","HU","F",77.5,"New Member States"
2009,"HU31","HU","F",77.2,"New Member States"
2010,"HU31","HU","F",77.5,"New Member States"
2011,"HU31","HU","F",77.7,"New Member States"
2012,"HU31","HU","F",77.5,"New Member States"
2013,"HU31","HU","F",78,"New Member States"
2014,"HU31","HU","F",78.2,"New Member States"
2015,"HU31","HU","F",78.1,"New Member States"
2016,"HU31","HU","F",78.3,"New Member States"
1992,"HU32","HU","F",73.7,"New Member States"
1993,"HU32","HU","F",73.5,"New Member States"
1994,"HU32","HU","F",74.2,"New Member States"
1995,"HU32","HU","F",74.5,"New Member States"
1996,"HU32","HU","F",74.8,"New Member States"
1997,"HU32","HU","F",75.1,"New Member States"
1998,"HU32","HU","F",75.3,"New Member States"
1999,"HU32","HU","F",75.4,"New Member States"
2000,"HU32","HU","F",75.7,"New Member States"
2001,"HU32","HU","F",76.3,"New Member States"
2002,"HU32","HU","F",76.1,"New Member States"
2003,"HU32","HU","F",76.2,"New Member States"
2004,"HU32","HU","F",76.8,"New Member States"
2005,"HU32","HU","F",76.7,"New Member States"
2006,"HU32","HU","F",77.4,"New Member States"
2007,"HU32","HU","F",77.3,"New Member States"
2008,"HU32","HU","F",77.7,"New Member States"
2009,"HU32","HU","F",78.1,"New Member States"
2010,"HU32","HU","F",78.1,"New Member States"
2011,"HU32","HU","F",78.6,"New Member States"
2012,"HU32","HU","F",78.8,"New Member States"
2013,"HU32","HU","F",79,"New Member States"
2014,"HU32","HU","F",79,"New Member States"
2015,"HU32","HU","F",78.4,"New Member States"
2016,"HU32","HU","F",79.2,"New Member States"
1992,"HU33","HU","F",73.8,"New Member States"
1993,"HU33","HU","F",74.3,"New Member States"
1994,"HU33","HU","F",74.8,"New Member States"
1995,"HU33","HU","F",74.9,"New Member States"
1996,"HU33","HU","F",75.2,"New Member States"
1997,"HU33","HU","F",75.9,"New Member States"
1998,"HU33","HU","F",75.4,"New Member States"
1999,"HU33","HU","F",75.6,"New Member States"
2000,"HU33","HU","F",76.3,"New Member States"
2001,"HU33","HU","F",76.8,"New Member States"
2002,"HU33","HU","F",76.7,"New Member States"
2003,"HU33","HU","F",76.6,"New Member States"
2004,"HU33","HU","F",77.3,"New Member States"
2005,"HU33","HU","F",76.9,"New Member States"
2006,"HU33","HU","F",77.8,"New Member States"
2007,"HU33","HU","F",77.7,"New Member States"
2008,"HU33","HU","F",78,"New Member States"
2009,"HU33","HU","F",78.2,"New Member States"
2010,"HU33","HU","F",78.6,"New Member States"
2011,"HU33","HU","F",78.1,"New Member States"
2012,"HU33","HU","F",78.6,"New Member States"
2013,"HU33","HU","F",79,"New Member States"
2014,"HU33","HU","F",79.1,"New Member States"
2015,"HU33","HU","F",78.8,"New Member States"
2016,"HU33","HU","F",79.4,"New Member States"
1992,"HU10","HU","M",65.9,"New Member States"
1993,"HU10","HU","M",66.1,"New Member States"
1994,"HU10","HU","M",66.4,"New Member States"
1995,"HU10","HU","M",66.7,"New Member States"
1996,"HU10","HU","M",67.2,"New Member States"
1997,"HU10","HU","M",67.8,"New Member States"
1998,"HU10","HU","M",67.9,"New Member States"
1999,"HU10","HU","M",68.2,"New Member States"
2000,"HU10","HU","M",68.9,"New Member States"
2001,"HU10","HU","M",69.7,"New Member States"
2002,"HU10","HU","M",70.1,"New Member States"
2003,"HU10","HU","M",70.1,"New Member States"
2004,"HU10","HU","M",70.7,"New Member States"
2005,"HU10","HU","M",70.7,"New Member States"
2006,"HU10","HU","M",71,"New Member States"
2007,"HU10","HU","M",71.3,"New Member States"
2008,"HU10","HU","M",72,"New Member States"
2009,"HU10","HU","M",72.2,"New Member States"
2010,"HU10","HU","M",72.7,"New Member States"
2011,"HU10","HU","M",73.1,"New Member States"
2012,"HU10","HU","M",73.6,"New Member States"
2013,"HU10","HU","M",73.8,"New Member States"
2014,"HU10","HU","M",74.1,"New Member States"
2015,"HU10","HU","M",74,"New Member States"
2016,"HU10","HU","M",74.3,"New Member States"
1992,"HU21","HU","M",64.5,"New Member States"
1993,"HU21","HU","M",65,"New Member States"
1994,"HU21","HU","M",65.3,"New Member States"
1995,"HU21","HU","M",65.5,"New Member States"
1996,"HU21","HU","M",66.3,"New Member States"
1997,"HU21","HU","M",67,"New Member States"
1998,"HU21","HU","M",66.7,"New Member States"
1999,"HU21","HU","M",66.6,"New Member States"
2000,"HU21","HU","M",67.8,"New Member States"
2001,"HU21","HU","M",68.6,"New Member States"
2002,"HU21","HU","M",68.1,"New Member States"
2003,"HU21","HU","M",68.4,"New Member States"
2004,"HU21","HU","M",68.6,"New Member States"
2005,"HU21","HU","M",68.8,"New Member States"
2006,"HU21","HU","M",68.9,"New Member States"
2007,"HU21","HU","M",69.4,"New Member States"
2008,"HU21","HU","M",69.7,"New Member States"
2009,"HU21","HU","M",69.9,"New Member States"
2010,"HU21","HU","M",70.6,"New Member States"
2011,"HU21","HU","M",71.2,"New Member States"
2012,"HU21","HU","M",71.3,"New Member States"
2013,"HU21","HU","M",71.9,"New Member States"
2014,"HU21","HU","M",72.3,"New Member States"
2015,"HU21","HU","M",71.7,"New Member States"
2016,"HU21","HU","M",72.2,"New Member States"
1992,"HU22","HU","M",65.9,"New Member States"
1993,"HU22","HU","M",65.6,"New Member States"
1994,"HU22","HU","M",65.9,"New Member States"
1995,"HU22","HU","M",66.5,"New Member States"
1996,"HU22","HU","M",67.5,"New Member States"
1997,"HU22","HU","M",67.6,"New Member States"
1998,"HU22","HU","M",67.1,"New Member States"
1999,"HU22","HU","M",67.4,"New Member States"
2000,"HU22","HU","M",68.1,"New Member States"
2001,"HU22","HU","M",69,"New Member States"
2002,"HU22","HU","M",69,"New Member States"
2003,"HU22","HU","M",69,"New Member States"
2004,"HU22","HU","M",69.5,"New Member States"
2005,"HU22","HU","M",69.5,"New Member States"
2006,"HU22","HU","M",70.3,"New Member States"
2007,"HU22","HU","M",70,"New Member States"
2008,"HU22","HU","M",70.7,"New Member States"
2009,"HU22","HU","M",70.8,"New Member States"
2010,"HU22","HU","M",71.4,"New Member States"
2011,"HU22","HU","M",71.6,"New Member States"
2012,"HU22","HU","M",71.7,"New Member States"
2013,"HU22","HU","M",72.2,"New Member States"
2014,"HU22","HU","M",72.7,"New Member States"
2015,"HU22","HU","M",73,"New Member States"
2016,"HU22","HU","M",72.9,"New Member States"
1992,"HU23","HU","M",64.1,"New Member States"
1993,"HU23","HU","M",64.3,"New Member States"
1994,"HU23","HU","M",64.8,"New Member States"
1995,"HU23","HU","M",65.4,"New Member States"
1996,"HU23","HU","M",65.7,"New Member States"
1997,"HU23","HU","M",66.4,"New Member States"
1998,"HU23","HU","M",66.3,"New Member States"
1999,"HU23","HU","M",66.2,"New Member States"
2000,"HU23","HU","M",67.5,"New Member States"
2001,"HU23","HU","M",67.9,"New Member States"
2002,"HU23","HU","M",68,"New Member States"
2003,"HU23","HU","M",68.1,"New Member States"
2004,"HU23","HU","M",68.3,"New Member States"
2005,"HU23","HU","M",68.5,"New Member States"
2006,"HU23","HU","M",68.7,"New Member States"
2007,"HU23","HU","M",69,"New Member States"
2008,"HU23","HU","M",70,"New Member States"
2009,"HU23","HU","M",69.8,"New Member States"
2010,"HU23","HU","M",70,"New Member States"
2011,"HU23","HU","M",71.1,"New Member States"
2012,"HU23","HU","M",71.1,"New Member States"
2013,"HU23","HU","M",71.7,"New Member States"
2014,"HU23","HU","M",71.9,"New Member States"
2015,"HU23","HU","M",71.7,"New Member States"
2016,"HU23","HU","M",72,"New Member States"
1992,"HU31","HU","M",63.4,"New Member States"
1993,"HU31","HU","M",62.9,"New Member States"
1994,"HU31","HU","M",63.4,"New Member States"
1995,"HU31","HU","M",64.3,"New Member States"
1996,"HU31","HU","M",65.4,"New Member States"
1997,"HU31","HU","M",65.2,"New Member States"
1998,"HU31","HU","M",65.5,"New Member States"
1999,"HU31","HU","M",65.7,"New Member States"
2000,"HU31","HU","M",66.6,"New Member States"
2001,"HU31","HU","M",66.8,"New Member States"
2002,"HU31","HU","M",66.7,"New Member States"
2003,"HU31","HU","M",66.8,"New Member States"
2004,"HU31","HU","M",67,"New Member States"
2005,"HU31","HU","M",67,"New Member States"
2006,"HU31","HU","M",67.5,"New Member States"
2007,"HU31","HU","M",67.6,"New Member States"
2008,"HU31","HU","M",68,"New Member States"
2009,"HU31","HU","M",68.5,"New Member States"
2010,"HU31","HU","M",68.9,"New Member States"
2011,"HU31","HU","M",69,"New Member States"
2012,"HU31","HU","M",69.8,"New Member States"
2013,"HU31","HU","M",70.2,"New Member States"
2014,"HU31","HU","M",70.5,"New Member States"
2015,"HU31","HU","M",70.7,"New Member States"
2016,"HU31","HU","M",70.8,"New Member States"
1992,"HU32","HU","M",64.4,"New Member States"
1993,"HU32","HU","M",64,"New Member States"
1994,"HU32","HU","M",64,"New Member States"
1995,"HU32","HU","M",64.7,"New Member States"
1996,"HU32","HU","M",65.9,"New Member States"
1997,"HU32","HU","M",66.1,"New Member States"
1998,"HU32","HU","M",65.5,"New Member States"
1999,"HU32","HU","M",66.2,"New Member States"
2000,"HU32","HU","M",66.8,"New Member States"
2001,"HU32","HU","M",67.1,"New Member States"
2002,"HU32","HU","M",67.4,"New Member States"
2003,"HU32","HU","M",67.7,"New Member States"
2004,"HU32","HU","M",67.8,"New Member States"
2005,"HU32","HU","M",67.5,"New Member States"
2006,"HU32","HU","M",68.3,"New Member States"
2007,"HU32","HU","M",68.4,"New Member States"
2008,"HU32","HU","M",68.9,"New Member States"
2009,"HU32","HU","M",69.5,"New Member States"
2010,"HU32","HU","M",69.8,"New Member States"
2011,"HU32","HU","M",70.6,"New Member States"
2012,"HU32","HU","M",70.9,"New Member States"
2013,"HU32","HU","M",71.6,"New Member States"
2014,"HU32","HU","M",71.3,"New Member States"
2015,"HU32","HU","M",71.4,"New Member States"
2016,"HU32","HU","M",71.9,"New Member States"
1992,"HU33","HU","M",64.7,"New Member States"
1993,"HU33","HU","M",64.5,"New Member States"
1994,"HU33","HU","M",65.1,"New Member States"
1995,"HU33","HU","M",65.1,"New Member States"
1996,"HU33","HU","M",66.2,"New Member States"
1997,"HU33","HU","M",66.6,"New Member States"
1998,"HU33","HU","M",66.3,"New Member States"
1999,"HU33","HU","M",66.5,"New Member States"
2000,"HU33","HU","M",67.1,"New Member States"
2001,"HU33","HU","M",68.3,"New Member States"
2002,"HU33","HU","M",68.4,"New Member States"
2003,"HU33","HU","M",67.9,"New Member States"
2004,"HU33","HU","M",68.5,"New Member States"
2005,"HU33","HU","M",68.5,"New Member States"
2006,"HU33","HU","M",69.3,"New Member States"
2007,"HU33","HU","M",69.1,"New Member States"
2008,"HU33","HU","M",69.8,"New Member States"
2009,"HU33","HU","M",70,"New Member States"
2010,"HU33","HU","M",70.5,"New Member States"
2011,"HU33","HU","M",71,"New Member States"
2012,"HU33","HU","M",71.2,"New Member States"
2013,"HU33","HU","M",72,"New Member States"
2014,"HU33","HU","M",71.8,"New Member States"
2015,"HU33","HU","M",71.7,"New Member States"
2016,"HU33","HU","M",72.3,"New Member States"
